GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0060122	inner ear receptor stereocilium organization	7	4	0.38	0.00025
2	GO:0001822	kidney development	34	8	1.82	0.00036
3	GO:0051290	protein heterotetramerization	5	3	0.27	0.00140
4	GO:0090102	cochlea development	8	4	0.43	0.00281
5	GO:0070831	basement membrane assembly	2	2	0.11	0.00286
6	GO:0045191	regulation of isotype switching	2	2	0.11	0.00286
7	GO:0008104	protein localization	388	15	20.81	0.00313
8	GO:0042475	odontogenesis of dentin-containing tooth	9	4	0.48	0.00446
9	GO:0060425	lung morphogenesis	7	3	0.38	0.00452
10	GO:0048730	epidermis morphogenesis	3	2	0.16	0.00828
11	GO:0001886	endothelial cell morphogenesis	3	2	0.16	0.00828
12	GO:0051918	negative regulation of fibrinolysis	3	2	0.16	0.00828
13	GO:0090305	nucleic acid phosphodiester bond hydrolysis	33	6	1.77	0.00976
14	GO:0006338	chromatin remodeling	16	4	0.86	0.01362
15	GO:0043932	ossification involved in bone remodeling	4	2	0.21	0.01598
16	GO:0000422	mitophagy	4	2	0.21	0.01598
17	GO:0097421	liver regeneration	4	2	0.21	0.01598
18	GO:0033690	positive regulation of osteoblast proliferation	4	2	0.21	0.01598
19	GO:0045669	positive regulation of osteoblast differentiation	12	3	0.64	0.02331
20	GO:0050808	synapse organization	41	5	2.2	0.02540
21	GO:0030199	collagen fibril organization	5	2	0.27	0.02569
22	GO:0000086	G2/M transition of mitotic cell cycle	18	4	0.97	0.03524
23	GO:0051384	response to glucocorticoid	14	3	0.75	0.03565
24	GO:0090090	negative regulation of canonical Wnt signaling pathway	14	3	0.75	0.03565
25	GO:0006812	cation transport	117	10	6.27	0.03637
26	GO:0090177	establishment of planar polarity involved in neural tube closure	6	2	0.32	0.03719
27	GO:0090103	cochlea morphogenesis	6	2	0.32	0.03719
28	GO:0051919	positive regulation of fibrinolysis	6	2	0.32	0.03719
29	GO:0045887	positive regulation of synaptic growth at neuromuscular junction	7	2	0.38	0.05026
30	GO:0006004	fucose metabolic process	7	2	0.38	0.05026
31	GO:0042311	vasodilation	7	2	0.38	0.05026
32	GO:0022414	reproductive process	165	13	8.85	0.05261
33	GO:0061028	establishment of endothelial barrier	2	2	0.11	0.05335
34	GO:0001569	patterning of blood vessels	4	2	0.21	0.05338
35	GO:0043482	cellular pigment accumulation	5	2	0.27	0.05339
36	GO:0010757	negative regulation of plasminogen activation	1	1	0.05	0.05363
37	GO:0003331	positive regulation of extracellular matrix constituent secretion	1	1	0.05	0.05363
38	GO:0051039	positive regulation of transcription involved in meiotic cell cycle	1	1	0.05	0.05363
39	GO:0045217	cell-cell junction maintenance	1	1	0.05	0.05363
40	GO:0015820	leucine transport	1	1	0.05	0.05363
41	GO:0061086	negative regulation of histone H3-K27 methylation	1	1	0.05	0.05363
42	GO:0021860	pyramidal neuron development	1	1	0.05	0.05363
43	GO:0034727	piecemeal microautophagy of nucleus	1	1	0.05	0.05363
44	GO:0072060	outer medullary collecting duct development	1	1	0.05	0.05363
45	GO:0072061	inner medullary collecting duct development	1	1	0.05	0.05363
46	GO:2000346	negative regulation of hepatocyte proliferation	1	1	0.05	0.05363
47	GO:0060033	anatomical structure regression	1	1	0.05	0.05363
48	GO:0072053	renal inner medulla development	1	1	0.05	0.05363
49	GO:0072054	renal outer medulla development	1	1	0.05	0.05363
