GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0005747	mitochondrial respiratory chain complex I	21	10	1.27	1.2e-07
2	GO:0005788	endoplasmic reticulum lumen	142	27	8.56	3.2e-07
3	GO:0042470	melanosome	76	15	4.58	7.2e-05
4	GO:0034715	pICln-Sm protein complex	6	4	0.36	0.00018
5	GO:0070469	respiratory chain	49	18	2.96	0.00021
6	GO:0034709	methylosome	11	5	0.66	0.00027
7	GO:0005790	smooth endoplasmic reticulum	12	5	0.72	0.00044
8	GO:0005685	U1 snRNP	12	5	0.72	0.00044
9	GO:0005687	U4 snRNP	8	4	0.48	0.00076
10	GO:0097233	alveolar lamellar body membrane	4	3	0.24	0.00084
11	GO:0070062	extracellular exosome	600	55	36.19	0.00125
12	GO:0005689	U12-type spliceosomal complex	15	5	0.9	0.00143
13	GO:0042151	nematocyst	65	11	3.92	0.00161
14	GO:0005578	proteinaceous extracellular matrix	523	54	31.54	0.00171
15	GO:0034719	SMN-Sm protein complex	16	5	0.96	0.00197
16	GO:0005576	extracellular region	2312	198	139.44	0.00198
17	GO:0005796	Golgi lumen	41	8	2.47	0.00274
18	GO:0097361	CIA complex	2	2	0.12	0.00363
19	GO:0034663	endoplasmic reticulum chaperone complex	2	2	0.12	0.00363
20	GO:0005581	collagen trimer	172	21	10.37	0.00488
21	GO:0002199	zona pellucida receptor complex	7	3	0.42	0.00637
22	GO:0005832	chaperonin-containing T-complex	7	3	0.42	0.00637
23	GO:0005739	mitochondrion	1190	105	71.77	0.00720
24	GO:0016607	nuclear speck	124	15	7.48	0.00767
25	GO:0000502	proteasome complex	68	17	4.1	0.01025
26	GO:0032991	macromolecular complex	3551	216	214.16	0.01046
27	GO:0009705	plant-type vacuole membrane	3	2	0.18	0.01046
28	GO:0005762	mitochondrial large ribosomal subunit	10	3	0.6	0.01906
29	GO:0005743	mitochondrial inner membrane	287	37	17.31	0.02005
30	GO:0046540	U4/U6 x U5 tri-snRNP complex	4	2	0.24	0.02009
31	GO:0001939	female pronucleus	4	2	0.24	0.02009
