GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0005578	proteinaceous extracellular matrix	123	17	6.64	0.00029
2	GO:0005615	extracellular space	138	17	7.44	0.00098
3	GO:0005581	collagen trimer	53	9	2.86	0.00178
4	GO:0030867	rough endoplasmic reticulum membrane	5	2	0.27	0.02598
5	GO:0019012	virion	5	2	0.27	0.02598
6	GO:0005796	Golgi lumen	7	2	0.38	0.05080
7	GO:0001520	outer dense fiber	1	1	0.05	0.05395
8	GO:0090406	pollen tube	1	1	0.05	0.05395
9	GO:0009570	chloroplast stroma	1	1	0.05	0.05395
10	GO:0043033	isoamylase complex	1	1	0.05	0.05395
11	GO:0060091	kinocilium	1	1	0.05	0.05395
12	GO:0017146	NMDA selective glutamate receptor complex	1	1	0.05	0.05395
13	GO:0000445	THO complex part of transcription export complex	1	1	0.05	0.05395
14	GO:0005971	ribonucleoside-diphosphate reductase complex	1	1	0.05	0.05395
15	GO:0030314	junctional membrane complex	1	1	0.05	0.05395
16	GO:0000407	pre-autophagosomal structure	1	1	0.05	0.05395
17	GO:0097541	axonemal basal plate	1	1	0.05	0.05395
18	GO:0097542	ciliary tip	1	1	0.05	0.05395
19	GO:0097546	ciliary base	1	1	0.05	0.05395
20	GO:0090537	CERF complex	1	1	0.05	0.05395
21	GO:0014701	junctional sarcoplasmic reticulum membrane	1	1	0.05	0.05395
22	GO:0036064	ciliary basal body	9	2	0.49	0.08114
23	GO:0031512	motile primary cilium	2	1	0.11	0.10500
24	GO:0030992	intraciliary transport particle B	2	1	0.11	0.10500
25	GO:0005719	nuclear euchromatin	2	1	0.11	0.10500
26	GO:0016600	flotillin complex	2	1	0.11	0.10500
27	GO:0072534	perineuronal net	2	1	0.11	0.10500
28	GO:0002080	acrosomal membrane	2	1	0.11	0.10500
29	GO:0005703	polytene chromosome puff	2	1	0.11	0.10500
30	GO:0031232	extrinsic component of external side of plasma membrane	2	1	0.11	0.10500
31	GO:0045120	pronucleus	2	1	0.11	0.10500
32	GO:0016021	integral component of membrane	579	37	31.23	0.11412
33	GO:0005923	bicellular tight junction	11	2	0.59	0.11559
34	GO:0005881	cytoplasmic microtubule	12	2	0.65	0.13397
35	GO:0005814	centriole	12	2	0.65	0.13397
36	GO:0016529	sarcoplasmic reticulum	12	3	0.65	0.15205
37	GO:0042995	cell projection	269	16	14.51	0.15264
38	GO:0001527	microfibril	3	1	0.16	0.15331
39	GO:0097487	multivesicular body, internal vesicle	3	1	0.16	0.15331
40	GO:0005764	lysosome	104	8	5.61	0.17174
41	GO:0005777	peroxisome	39	4	2.1	0.18873
42	GO:0000242	pericentriolar material	4	1	0.22	0.19903
43	GO:0016514	SWI/SNF complex	4	1	0.22	0.19903
44	GO:0017053	transcriptional repressor complex	4	1	0.22	0.19903
45	GO:0009941	chloroplast envelope	4	1	0.22	0.19903
46	GO:0031258	lamellipodium membrane	4	1	0.22	0.19903
47	GO:0071564	npBAF complex	4	1	0.22	0.19903
48	GO:0071565	nBAF complex	4	1	0.22	0.19903
49	GO:0044295	axonal growth cone	4	1	0.22	0.19903
50	GO:0034707	chloride channel complex	4	1	0.22	0.19903
51	GO:0019005	SCF ubiquitin ligase complex	4	1	0.22	0.19903
52	GO:0045177	apical part of cell	47	5	2.54	0.20991
53	GO:0005605	basal lamina	16	2	0.86	0.21237
54	GO:0016023	cytoplasmic, membrane-bounded vesicle	211	10	11.38	0.22518
55	GO:0030054	cell junction	183	11	9.87	0.22972
56	GO:0016324	apical plasma membrane	31	3	1.67	0.23249
57	GO:0005901	caveola	7	2	0.38	0.24119
58	GO:0072372	primary cilium	16	2	0.86	0.24178
