GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0051082	unfolded protein binding	52	15	2.82	6.3e-08
2	GO:0004656	procollagen-proline 4-dioxygenase activity	8	6	0.43	6.4e-07
3	GO:0008137	NADH dehydrogenase (ubiquinone) activity	17	8	0.92	1.1e-06
4	GO:0004222	metalloendopeptidase activity	208	27	11.29	2.3e-05
5	GO:0005355	glucose transmembrane transporter activity	5	4	0.27	4.1e-05
6	GO:0000166	nucleotide binding	2613	165	141.86	6.6e-05
7	GO:0017127	cholesterol transporter activity	6	4	0.33	0.00012
8	GO:0005506	iron ion binding	229	27	12.43	0.00023
9	GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	41	10	2.23	0.00058
10	GO:0042605	peptide antigen binding	15	5	0.81	0.00089
11	GO:0004028	3-chloroallyl aldehyde dehydrogenase activity	5	3	0.27	0.00147
12	GO:0034186	apolipoprotein A-I binding	5	3	0.27	0.00147
13	GO:0034188	apolipoprotein A-I receptor activity	5	3	0.27	0.00147
14	GO:0031418	L-ascorbic acid binding	42	8	2.28	0.00166
15	GO:0003950	NAD+ ADP-ribosyltransferase activity	26	6	1.41	0.00227
16	GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity	6	3	0.33	0.00282
17	GO:0042301	phosphate ion binding	2	2	0.11	0.00294
18	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	28	6	1.52	0.00339
19	GO:0008509	anion transmembrane transporter activity	199	16	10.8	0.00469
20	GO:0005528	FK506 binding	7	3	0.38	0.00473
21	GO:0009055	electron carrier activity	57	10	3.09	0.00684
22	GO:0043559	insulin binding	3	2	0.16	0.00851
23	GO:0015321	sodium-dependent phosphate transmembrane transporter activity	3	2	0.16	0.00851
24	GO:0042586	peptide deformylase activity	3	2	0.16	0.00851
25	GO:0004298	threonine-type endopeptidase activity	16	4	0.87	0.00929
26	GO:0030197	extracellular matrix constituent, lubricant activity	9	3	0.49	0.01047
27	GO:0015175	neutral amino acid transmembrane transporter activity	22	5	1.19	0.01161
28	GO:0016746	transferase activity, transferring acyl groups	252	23	13.68	0.01399
29	GO:0004602	glutathione peroxidase activity	10	3	0.54	0.01436
30	GO:0033780	taurochenodeoxycholate 6alpha-hydroxylase activity	4	2	0.22	0.01642
31	GO:0070576	vitamin D 24-hydroxylase activity	4	2	0.22	0.01642
32	GO:0050591	quinine 3-monooxygenase activity	4	2	0.22	0.01642
33	GO:0034875	caffeine oxidase activity	4	2	0.22	0.01642
34	GO:0047638	albendazole monooxygenase activity	4	2	0.22	0.01642
